ID,area_type,availability,location,size,total_sqft,bath,balcony,price,total_sqft_category,dist_from_city,avg_2bhk_rent,dist_from_city_cat
60,Plot  Area,Ready To Move,Tharabanahalli,3 BHK,4395,3,2.0,240.0,5,15.179954252443338,15867.0,5
61,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845,2,1.0,55.0,4,8.6,15465.0,4
62,Plot  Area,Ready To Move,Whitefield,4 BHK,5700,5,3.0,650.0,6,17.3,14981.0,5
63,Built-up  Area,Ready To Move,Varthur,2 BHK,1160,2,2.0,44.0,5,17.4,9483.0,5
64,Built-up  Area,Ready To Move,Bommanahalli,8 BHK,3000,8,0.0,140.0,5,9.6,13625.0,4
65,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2,1.0,62.0,5,19.6,13625.0,5
66,Super built-up  Area,18-Apr,Gunjur,2 BHK,1140,2,3.0,43.0,5,18.5,16000.0,5
67,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2,1.0,57.0,5,10.9,16620.0,4
68,Plot  Area,Ready To Move,Devarachikkanahalli,8 BHK,1350,7,0.0,85.0,5,15.179954252443338,15867.0,5
69,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005,2,1.0,36.68,5,26.5,11184.0,6
70,Plot  Area,Ready To Move,Double Road,3 BHK,500,3,2.0,100.0,3,15.179954252443338,15867.0,5
71,Super built-up  Area,20-Aug,Begur Road,2 BHK,1358,2,1.0,80.58,5,10.8,15465.0,4
72,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569,3,1.0,101.0,5,13.7,15867.0,5
73,Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240,2,1.0,70.0,5,14.9,15867.0,5
74,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089,3,2.0,140.0,5,14.4,15867.0,5
75,Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206,2,1.0,48.23,5,11.8,15465.0,4
76,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150,2,3.0,40.0,5,13.5,15867.0,5
77,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511,3,3.0,205.0,5,10.9,15465.0,4
78,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460,1,0.0,22.0,3,8.9,15465.0,4
79,Built-up  Area,Ready To Move,ISRO Layout,6 BHK,4400,6,3.0,250.0,5,13.2,15867.0,5
80,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660,2,2.0,105.0,5,15.179954252443338,15867.0,5
81,Built-up  Area,18-Oct,Hennur Road,4 BHK,3204,4,1.0,224.5,5,14.4,15867.0,5
82,Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326,2,2.0,78.0,5,20.8,8500.0,6
83,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2,2.0,60.8,5,11.9,15465.0,4
84,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5,2.0,102.0,5,14.6,15867.0,5
85,Built-up  Area,Ready To Move,Hegde Nagar,6 BHK,3000,7,2.0,210.0,5,13.7,15867.0,5
86,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3,2.0,88.0,5,26.5,11184.0,6
87,Super built-up  Area,17-Sep,Dasanapura,2 BHK,708,2,2.0,37.0,4,29.2,11184.0,6
88,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060,2,2.0,58.06,5,15.0,15867.0,5
89,Plot  Area,Ready To Move,Rajaji Nagar,6 BHK,710,6,3.0,160.0,4,9.6,15465.0,4
90,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000,2,2.0,70.0,4,10.6,15465.0,4
91,Super built-up  Area,18-Dec,Electronic City,2 BHK,1000,2,1.0,28.88,4,18.1,15867.0,5
92,Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450,2,2.0,70.0,5,17.5,15867.0,5
93,Plot  Area,Ready To Move,ISRO Layout,4 BHK,1200,4,2.0,155.0,5,13.2,15867.0,5
94,Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296,2,3.0,80.0,5,11.5,13500.0,4
95,Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3,2.0,90.0,5,5.4,17994.0,3
96,Plot  Area,Ready To Move,Kengeri,4 BHK,2894,4,1.0,245.0,5,22.5,12000.0,6
97,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330,2,1.0,48.0,5,36.0,17414.0,7
98,Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200,2,1.0,65.0,5,18.7,15867.0,5
99,Built-up  Area,Ready To Move,T Dasarahalli,3 BHK,1200,3,1.0,90.0,5,15.179954252443338,15867.0,5
100,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502,3,3.0,138.0,5,13.4,15867.0,5
101,Built-up  Area,Ready To Move,Chandapura,2 BHK,650,1,1.0,17.0,4,24.0,11714.0,6
102,Plot  Area,Ready To Move,Kothanur,3 BHK,2400,2,1.0,150.0,5,11.8,16375.0,4
103,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007,2,2.0,43.0,5,18.1,15867.0,5
104,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200,2,2.0,50.0,5,13.1,15867.0,5
105,Super built-up  Area,Ready To Move,Peenya,2 BHK,966,2,2.0,49.9,4,15.5,15867.0,5
106,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630,2,1.0,98.0,5,17.0,16334.0,5
107,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3,2.0,229.0,5,9.6,15465.0,4
108,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782,2,2.0,55.68,4,17.5,15867.0,5
109,Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260,2,2.0,66.78,5,38.7,17302.0,7
110,Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800,3,3.0,120.0,5,15.179954252443338,15867.0,5
111,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413,2,2.0,75.0,5,14.3,15867.0,5
112,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,1.0,51.91,5,17.3,14981.0,5
113,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530,2,1.0,45.9,5,18.1,15867.0,5
114,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 BHK,3700,4,1.0,225.0,5,11.7,14647.0,4
115,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2497,3,2.0,140.0,5,17.2,15867.0,5
116,Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540,2,3.0,64.0,5,22.5,12000.0,6
117,Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436,3,1.0,74.75,5,11.5,13500.0,4
118,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100,2,2.0,75.0,5,8.3,15465.0,4
119,Plot  Area,Ready To Move,Hennur Road,2 BHK,276,3,3.0,23.0,3,14.4,15867.0,5
120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427,3,2.0,120.0,5,11.5,13500.0,4
121,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3,1.0,200.0,5,13.8,15867.0,5
122,Super built-up  Area,18-Mar,Hebbal,4 BHK,5612,4,0.0,477.0,6,11.1,17340.0,4
123,Built-up  Area,Ready To Move,Shampura,4 BHK,2650,4,2.0,150.0,5,9.5,15465.0,4
124,Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282,2,2.0,68.52,5,38.7,17302.0,7
125,Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2,1.0,34.0,5,18.7,12250.0,5
126,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600,3,2.0,65.0,5,8.5,15465.0,4
127,Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945,2,1.0,54.0,4,16.8,15867.0,5
128,Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2,1.0,78.0,5,11.9,15465.0,4
129,Plot  Area,Ready To Move,Vishwapriya Layout,7 BHK,950,7,0.0,115.0,4,12.0,15465.0,4
130,Built-up  Area,Ready To Move,Peenya,3 BHK,1870,3,3.0,110.0,5,15.5,15867.0,5
131,Plot  Area,Ready To Move,Sarjapur,3 BHK,1600,3,1.0,75.0,5,17.2,45000.0,5
132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,1,1.0,16.5,4,18.1,15867.0,5
133,Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 BHK,1200,4,0.0,210.0,5,15.179954252443338,15867.0,5
134,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3,2.0,83.0,5,11.8,9500.0,4
135,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2,1.0,57.0,4,26.5,11184.0,6
136,Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360,2,1.0,65.0,5,38.7,17302.0,7
137,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1074,2,0.0,54.005,5,14.5,15867.0,5
138,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280,3,1.0,50.4,5,21.6,11184.0,6
139,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260,2,2.0,85.05,5,12.3,15465.0,4
140,Built-up  Area,Ready To Move,Hennur Road,8 BHK,5000,8,2.0,250.0,5,14.4,15867.0,5
141,Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050,5,1.0,213.0,5,20.8,8500.0,6
142,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563,3,1.0,105.0,5,15.0,15867.0,5
143,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000,2,1.0,60.0,4,13.2,15867.0,5
144,Super built-up  Area,17-Jul,Anandapura,2 BHK,1167,2,1.0,43.76,5,12.4,15465.0,4
145,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000,7,2.0,225.0,5,15.4,15867.0,5
146,Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828,3,2.0,110.0,5,11.8,16375.0,4
147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890,2,1.0,35.0,4,16.9,15000.0,5
148,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612,3,3.0,46.74,5,13.6,15867.0,5
149,Plot  Area,Ready To Move,Dinnur,6 BHK,1034,5,2.0,185.0,5,15.179954252443338,15867.0,5
150,Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710,4,2.0,91.31,5,28.6,11184.0,6
151,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2,1.0,58.0,4,23.1,2271.0,6
152,Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,1250,2,3.0,44.0,5,12.0,15465.0,4
153,Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795,4,2.0,235.0,5,15.179954252443338,15867.0,5
154,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125,2,2.0,50.0,5,15.0,11000.0,5
155,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020,2,1.0,30.6,5,19.3,11500.0,5
156,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,2.0,50.0,5,13.5,15867.0,5
157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735,3,3.0,135.0,5,11.5,13500.0,4
158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050,3,1.0,145.0,5,11.5,13500.0,4
159,Plot  Area,Ready To Move,Mahalakshmi Layout,4 BHK,3750,4,0.0,760.0,5,11.4,15465.0,4
160,Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350,2,3.0,48.0,5,15.179954252443338,15867.0,5
161,Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1.0,32.0,5,15.7,2283.0,5
162,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904,3,1.0,150.0,5,9.6,15465.0,4
163,Built-up  Area,Ready To Move,Whitefield,4 BHK,4200,4,2.0,420.0,5,17.3,14981.0,5
164,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000,3,1.0,175.0,5,12.1,15465.0,4
165,Super built-up  Area,18-Dec,Sarjapur,2 BHK,1242,2,0.0,43.49,5,17.2,45000.0,5
166,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425,2,2.0,75.0,5,15.8,15867.0,5
167,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2,1.0,64.5,5,18.1,15867.0,5
168,Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2,1.0,60.0,5,18.1,15867.0,5
169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470,2,2.0,70.0,5,15.179954252443338,15867.0,5
170,Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300,6,0.0,99.0,5,15.179954252443338,15867.0,5
171,Super built-up  Area,Ready To Move,Attibele,1 BHK,450,1,1.0,11.0,3,31.8,7500.0,7
172,Super built-up  Area,18-Apr,Electronic City,2 BHK,1152,2,1.0,64.5,5,18.1,15867.0,5
173,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,2,1.0,56.0,5,18.1,15867.0,5
174,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550,3,3.0,65.0,5,7.2,16500.0,3
175,Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 BHK,1500,3,2.0,100.0,5,15.179954252443338,15867.0,5
176,Plot  Area,Ready To Move,Kumaraswami Layout,5 BHK,600,3,2.0,85.0,4,12.2,15465.0,4
177,Plot  Area,Ready To Move,Nagavara,1 BHK,400,1,0.0,14.0,3,13.2,19333.0,5
178,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705,1,2.0,67.0,4,8.3,15465.0,4
179,Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1,1.0,36.0,4,18.1,15867.0,5
180,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242,2,3.0,51.0,5,15.0,11000.0,5
181,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700,3,2.0,155.0,5,13.4,15867.0,5
182,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144,3,2.0,145.0,5,11.5,13500.0,4
183,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704,3,2.0,110.0,5,11.1,18125.0,4
184,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1.0,52.0,5,18.1,15867.0,5
185,Plot  Area,Ready To Move,8th block Koramangala,3 BHK,1846,3,2.0,300.0,5,5.4,17994.0,3
186,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340,2,2.0,55.7,5,15.1,15867.0,5
187,Built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2,1.0,46.0,5,18.1,15867.0,5
188,Super built-up  Area,Ready To Move,KR Puram,2 BHK,1278,2,0.0,56.8,5,11.9,15465.0,4
189,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2,2.0,52.0,5,10.9,16620.0,4
190,Built-up  Area,18-Dec,Kanakpura Road,4 BHK,2250,4,1.0,110.0,5,26.5,11184.0,6
191,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550,2,3.0,80.0,5,16.0,15867.0,5
192,Plot  Area,Ready To Move,Bellandur,4 BHK,1200,5,2.0,325.0,5,12.9,19667.0,4
193,Plot  Area,Ready To Move,Ejipura,7 BHK,1800,7,1.0,250.0,5,7.5,16833.0,3
194,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2,2.0,60.0,5,10.9,16620.0,4
195,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327,2,2.0,98.0,5,20.8,8500.0,6
196,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186,2,2.0,58.0,5,11.8,16375.0,4
197,Built-up  Area,Ready To Move,MS Pallya,3 BHK,1783,3,1.0,115.0,5,17.0,15867.0,5
198,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400,3,2.0,56.0,5,10.5,20521.0,4
199,Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980,2,1.0,48.0,4,17.6,15867.0,5
200,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285,2,2.0,82.0,5,14.6,15867.0,5
201,Super built-up  Area,Ready To Move,Langford Town,3 BHK,912,2,1.0,70.0,4,3.3,24842.0,2
202,Built-up  Area,Ready To Move,Whitefield,2 BHK,1225,2,2.0,47.6,5,17.3,14981.0,5
203,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075,2,1.0,53.0,5,17.3,14981.0,5
204,Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260,2,2.0,54.0,5,18.7,12250.0,5
205,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2,2.0,48.7,5,20.8,8500.0,6
206,Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909,3,2.0,88.0,5,19.6,19000.0,5
207,Super built-up  Area,Ready To Move,Panathur,2 BHK,1359,2,1.0,87.0,5,14.2,16000.0,5
208,Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207,2,2.0,43.5,5,19.0,15867.0,5
209,Plot  Area,Ready To Move,Padmanabhanagar,4 BHK,1736,6,0.0,190.0,5,11.3,15465.0,4
210,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850,4,1.0,428.0,5,6.0,17994.0,3
211,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595,3,2.0,65.0,5,21.2,11184.0,6
212,Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,1798,3,2.0,89.0,5,15.3,15867.0,5
213,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475,3,2.0,78.29,5,20.3,11184.0,6
214,Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580,3,3.0,100.0,5,14.2,15867.0,5
215,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295,2,1.0,65.0,5,29.4,11184.0,6
216,Built-up  Area,Ready To Move,Magadi Road,6 BHK,3600,6,0.0,141.0,5,21.7,11184.0,6
217,Super built-up  Area,Ready To Move,Electronic City,1 BHK,589,1,1.0,27.0,4,18.1,15867.0,5
218,Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415,3,3.0,78.0,5,14.0,15867.0,5
219,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787,3,2.0,98.29,5,17.2,15867.0,5
220,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787,3,2.0,125.0,5,17.2,15867.0,5
221,Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475,2,3.0,90.0,5,8.3,2117.0,4
222,Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4,1.0,75.5,5,15.179954252443338,15867.0,5
223,Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984,2,1.0,44.28,4,17.2,15867.0,5
224,Super built-up  Area,19-Dec,Devanahalli,3 BHK,1630,3,2.0,74.82,5,38.7,17302.0,7
225,Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405,4,2.0,260.0,5,15.179954252443338,15867.0,5
226,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2,2.0,72.0,5,11.0,15465.0,4
227,Plot  Area,Ready To Move,Shantiniketan Layout,2 BHK,1500,2,1.0,115.0,5,13.1,15867.0,5
228,Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900,3,2.0,119.0,5,11.1,17340.0,4
229,Super built-up  Area,19-Aug,Dommasandra,2 BHK,805,2,1.0,22.14,4,23.5,11184.0,6
230,Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2,2.0,56.4,5,30.9,17414.0,7
231,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2,2.0,60.0,5,13.8,15867.0,5
232,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110,2,2.0,55.0,5,15.2,15867.0,5
233,Built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2,2.0,42.0,5,18.1,15867.0,5
234,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290,2,2.0,110.0,5,8.7,15465.0,4
235,Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500,2,1.0,65.0,5,15.179954252443338,15867.0,5
236,Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,1080,2,2.0,39.0,5,11.4,15465.0,4
237,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933,3,1.0,129.0,5,11.1,18125.0,4
238,Built-up  Area,Ready To Move,Ramamurthy Nagar,5 BHK,3500,5,2.0,150.0,5,11.7,14647.0,4
