,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,dist_from_city
70,70,Super built-up  Area,18-Mar,Sarjapur  Road,3 BHK,PualeSk,1618 - 1929,2.0,1.5947635795232513,17.2
71,71,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1342,2.0,1.0,18.1
72,72,Super built-up  Area,Ready To Move,Chandra Layout,3 BHK,Unknown,1600,3.0,2.0,12.3
73,73,Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,938,1.0,1.0,47.7
74,74,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,30.9
75,75,Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,15.3
76,76,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1665,3.0,2.0,26.5
77,77,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Unknown,1850,3.0,2.0,7.1
78,78,Built-up  Area,Ready To Move,Bommanahalli,2 BHK,Alarke ,1091,2.0,1.0,9.6
79,79,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,17.2
80,80,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1720,3.0,2.0,9.6
81,81,Built-up  Area,Ready To Move,Brookefield,4 Bedroom,Goodsrb,3675,4.0,3.0,15.1
82,82,Super built-up  Area,18-Jun,JP Nagar,2 BHK,Unknown,1060,2.0,2.0,9.9
83,83,Built-up  Area,18-Dec,Whitefield,2 BHK,Unknown,1059,2.0,1.0,17.3
84,84,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1299,2.0,1.0,11.1
85,85,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1491,3.0,2.0,20.8
86,86,Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,Unknown,1200,2.0,2.0,10.9
87,87,Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,Unknown,2088,5.0,0.0,20.8
88,88,Super built-up  Area,Ready To Move,Hulimavu,1 BHK,Unknown,581,1.0,1.0,15.0
89,89,Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,Unknown,1296,2.0,2.0,14.4
90,90,Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1125,2.0,1.0,11.4
91,91,Built-up  Area,Ready To Move,Electronic City,3 BHK,Emodsel,1275,3.0,1.0,18.1
92,92,Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1095,2.0,2.0,11.8
93,93,Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,AdlasRe,10000,4.0,2.0,17.2
94,94,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1330,2.0,2.0,4.7
95,95,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1135,2.0,2.0,10.9
96,96,Super built-up  Area,Ready To Move,Whitefield,1 BHK,Unknown,516,1.0,1.0,17.3
97,97,Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,Unknown,1194,2.0,1.0,13.4
98,98,Plot  Area,Ready To Move,Banaswadi,5 Bedroom,Unknown,2250,5.0,1.5947635795232513,7.8
99,99,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,18.1
100,100,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Maana E,3930,5.0,2.0,17.2
101,101,Super built-up  Area,18-May,Chikkalasandra,3 BHK,Unknown,1355,3.0,2.0,12.1
102,102,Built-up  Area,Ready To Move,Abbigere,8 Bedroom,Unknown,3000,8.0,0.0,18.4
103,103,Built-up  Area,Ready To Move,Harlur,4 BHK,Prncyrn,2569,4.0,1.0,16.1
104,104,Built-up  Area,Ready To Move,Hebbal,4 Bedroom,Unknown,3758,4.0,2.0,11.1
105,105,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,3.0,17.3
106,106,Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1707,3.0,2.0,15.3
107,107,Plot  Area,18-Apr,AECS LAYOUT A-BLOCK Singasandra,5 Bedroom,Unknown,1200,5.0,1.0,
108,108,Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,Unknown,1070,2.0,2.0,8.4
109,109,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Unknown,6000,4.0,1.5947635795232513,17.3
110,110,Super built-up  Area,18-Apr,Tumkur Road,3 BHK,Sahtsva,1240,2.0,1.0,20.9
111,111,Super built-up  Area,19-Dec,JP Nagar,2 BHK,Shestut,1300,2.0,1.0,9.9
112,112,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJodsed,1700,2.0,2.0,13.7
113,113,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1383,2.0,2.0,13.4
114,114,Built-up  Area,Ready To Move,Banashankari Stage I,5 Bedroom,Unknown,3000,4.0,3.0,
115,115,Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1200,2.0,1.0,18.1
116,116,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Unknown,935,2.0,3.0,15.0
117,117,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,15.0
118,118,Built-up  Area,Ready To Move,Ramanjaneyanagar,4 Bedroom,Unknown,2200,3.0,1.0,12.3
119,119,Super built-up  Area,Ready To Move,Jalahalli,1 BHK,Vaniai ,615,1.0,1.0,16.6
120,120,Super built-up  Area,Ready To Move,KR Puram,2 BHK,CiaksRi,1116,2.0,1.0,11.9
121,121,Super built-up  Area,18-Dec,Whitefield,3 BHK,Asarqz ,1639,3.0,2.0,17.3
122,122,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Unknown,1839,3.0,2.0,10.9
123,123,Super built-up  Area,Ready To Move,Byatarayanapura,2 BHK,Unknown,1300,2.0,2.0,14.3
124,124,Super built-up  Area,Ready To Move,Horamavu Agara,1 BHK,Unknown,625,1.0,1.0,12.2
125,125,Super built-up  Area,18-May,Thanisandra,1 BHK,Bhmesy ,933,1.0,1.0,11.5
126,126,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,2289,3.0,3.0,19.0
127,127,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,Unknown,2316,3.0,0.0,11.7
128,128,Super built-up  Area,18-May,Electronic City,2 BHK,Unknown,1005,2.0,1.0,18.1
129,129,Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,SLoraFl,1080,2.0,1.0,12.2
130,130,Plot  Area,Ready To Move,Munnekollal,7 Bedroom,Unknown,1200,5.0,3.0,12.4
131,131,Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Prodsth,910,2.0,3.0,12.0
132,132,Plot  Area,Ready To Move,Hormavu,2 Bedroom,Grensak,1200,2.0,0.0,11.9
133,133,Super built-up  Area,Ready To Move,Electronic City,2 BHK,YCnce R,1110,2.0,1.0,18.1
134,134,Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1142,2.0,2.0,11.8
135,135,Carpet  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,Unknown,4000,4.0,3.0,15.2
136,136,Plot  Area,18-Mar,Hormavu,3 Bedroom,Prageta,1800,3.0,1.0,11.9
137,137,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,CMard B,1005,2.0,1.0,13.8
138,138,Built-up  Area,18-Apr,3rd Block Banashankari,3 BHK,Unknown,1626.6,3.0,1.0,10.4
139,139,Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1074,2.0,2.0,11.8
140,140,Carpet  Area,Ready To Move,Basavangudi,2 BHK,Unknown,1230,2.0,0.0,7.1
141,141,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,18.1
142,142,Built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,Unknown,1007,2.0,2.0,10.2
143,143,Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,Unknown,1050,6.0,1.0,7.3
144,144,Built-up  Area,20-Dec,Whitefield,3 BHK,Unknown,1820,3.0,2.0,17.3
145,145,Super built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2.0,1.0,14.4
146,146,Plot  Area,Ready To Move,Anjappa Layout,2 Bedroom,Unknown,1348,2.0,0.0,
147,147,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Unknown,1230,2.0,2.0,15.0
148,148,Super built-up  Area,18-May,Horamavu Agara,3 BHK,Unknown,1176,2.0,1.0,12.2
149,149,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590,3.0,2.0,12.9
150,150,Built-up  Area,Ready To Move,Frazer Town,2 BHK,Unknown,1200,2.0,1.0,4.0
151,151,Built-up  Area,18-Jun,"Off Sarjapur Road, ",2 BHK,Unknown,1298,2.0,1.0,15.3
152,152,Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1161,2.0,1.0,15.7
153,153,Plot  Area,Ready To Move,Himagiri Meadows,4 Bedroom,Unknown,1350,4.0,0.0,
154,154,Plot  Area,Ready To Move,4th Block HBR Layout,5 Bedroom,Unknown,1200,5.0,2.0,
155,155,Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1285,2.0,1.0,11.8
156,156,Super built-up  Area,17-Jun,Electronic City,3 BHK,Prarkun,1644,3.0,2.0,18.1
157,157,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Unknown,1819,3.0,1.0,15.0
158,158,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1205,2.0,1.0,9.7
159,159,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Unknown,2350,3.0,3.0,7.1
160,160,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1050,2.0,1.0,12.9
161,161,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Ely 3Em,1270,2.0,2.0,15.3
162,162,Super built-up  Area,18-Jun,9th Phase JP Nagar,3 BHK,Unknown,1240,2.0,2.0,15.8
163,163,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3.0,3.0,27.7
164,164,Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,RKntsrt,840,2.0,2.0,10.3
165,165,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,26.5
166,166,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4303,5.0,1.5947635795232513,15.0
167,167,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,DSimaUl,1315,2.0,1.0,14.9
168,168,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Unknown,1250,2.0,2.0,15.3
169,169,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850,2.0,1.0,38.4
170,170,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1600,2.0,2.0,11.0
171,171,Built-up  Area,Ready To Move,Electronic City,2 BHK,Prhtsua,1250,2.0,1.0,18.1
172,172,Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1312,2.0,1.0,12.8
173,173,Super built-up  Area,Ready To Move,Kadugodi,4 BHK,VSaya A,3000,4.0,0.0,18.7
174,174,Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Prngshi,1300,2.0,2.0,19.3
175,175,Built-up  Area,Ready To Move,Whitefield,3 BHK,Unknown,1990,3.0,3.0,17.3
176,176,Super built-up  Area,Ready To Move,Medahalli,2 BHK,Unknown,760,2.0,2.0,14.7
177,177,Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,5000,4.0,2.0,18.9
178,178,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,InadeAr,1614,2.0,2.0,18.7
179,179,Plot  Area,Ready To Move,Judicial Layout,4 Bedroom,Unknown,1500,3.0,2.0,16.3
180,180,Super built-up  Area,Ready To Move,Basava Nagar,3 BHK,Prvaska,1182,2.0,1.0,
181,181,Super built-up  Area,Ready To Move,Avalahalli,2 BHK,PyonsCa,1053,2.0,1.0,9.7
182,182,Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,Unknown,750,1.0,1.0,11.7
183,183,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,2000,3.0,3.0,15.4
184,184,Built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1940,4.0,3.0,19.3
185,185,Super built-up  Area,18-Dec,Hennur Road,3 BHK,Shxorm ,1590,3.0,2.0,14.4
186,186,Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,Unknown,1035,2.0,2.0,9.7
187,187,Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1075,2.0,2.0,11.8
188,188,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Unknown,900,2.0,0.0,12.2
189,189,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Keave E,1260,2.0,1.0,15.3
190,190,Plot  Area,Ready To Move,Prashanth Nagar,6 Bedroom,Unknown,1200,5.0,0.0,
191,191,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1702,3.0,2.0,11.5
192,192,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1080,2.0,2.0,38.4
193,193,Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Unknown,1189,2.0,1.0,15.0
194,194,Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Mairer ,1035,2.0,1.0,20.9
195,195,Super built-up  Area,18-Aug,Hennur Road,2 BHK,DSeldpr,1200,2.0,1.0,14.4
196,196,Plot  Area,Ready To Move,Mahalakshmi Layout,8 Bedroom,Unknown,4482,6.0,2.0,11.4
197,197,Plot  Area,Ready To Move,Michael Palaya,3 Bedroom,Unknown,1200,3.0,0.0,
198,198,Super built-up  Area,20-Oct,Kanakpura Road,3 BHK,PrarePa,1300,3.0,1.0,26.5
199,199,Super built-up  Area,19-Apr,Yelahanka,2 BHK,LedorSa,1330,2.0,1.0,20.8
200,200,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1210,2.0,1.0,32.9
201,201,Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1350,2.0,2.0,12.1
202,202,Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,SyOnen ,1900,2.0,2.0,8.9
203,203,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1935,4.0,2.0,18.9
204,204,Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,BrlonAv,1410,3.0,3.0,13.4
205,205,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1469,2.0,2.0,13.2
206,206,Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,986,2.0,1.0,17.4
207,207,Super built-up  Area,Ready To Move,RBI Layout,3 BHK,Sasicha,1460,2.0,2.0,
208,208,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,12.3
209,209,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,2.0,2.0,24.0
210,210,Super built-up  Area,Ready To Move,Panathur,2 BHK,Isncasa,980,2.0,1.0,14.2
211,211,Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,Brlms P,1164,2.0,2.0,11.8
212,212,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,1.0,2.0,16.0
213,213,Built-up  Area,Ready To Move,Kundalahalli,2 BHK,Unknown,1065,2.0,1.0,17.4
214,214,Super built-up  Area,20-Jun,Budigere,2 BHK,Brstaue,1150 - 1194,2.0,0.0,30.9
215,215,Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,Unknown,3000,3.0,1.0,
216,216,Super built-up  Area,18-Apr,Electronic City,2 BHK,Unknown,1020,2.0,1.0,18.1
217,217,Super built-up  Area,Ready To Move,Gunjur,3 BHK,DSerste,1362,3.0,1.0,18.5
218,218,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,672,1.0,1.0,13.4
219,219,Super built-up  Area,Ready To Move,Brookefield,3 BHK,Stlomg ,1746,3.0,3.0,15.1
220,220,Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1025,2.0,1.0,18.1
221,221,Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1532,2.0,1.0,16.1
222,222,Super built-up  Area,Ready To Move,Guni Agrahara,3 BHK,Unknown,1200,2.0,2.0,
223,223,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,AlourAr,1250,2.0,2.0,8.6
224,224,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1188,2.0,1.0,11.5
225,225,Built-up  Area,19-Oct,Whitefield,4 Bedroom,NVaree ,3565,4.0,0.0,17.3
226,226,Super built-up  Area,19-Jan,Marathahalli,2 BHK,PrensKe,1170,2.0,2.0,10.9
227,227,Super built-up  Area,Ready To Move,BEL Road,3 BHK,Unknown,1800,3.0,2.0,11.5
228,228,Plot  Area,Ready To Move,Madavara,2 Bedroom,Unknown,1000,2.0,1.0,
229,229,Plot  Area,Ready To Move,Cooke Town,3 Bedroom,Unknown,2600,3.0,1.0,5.4
230,230,Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,Unknown,1200,4.0,3.0,17.0
231,231,Super built-up  Area,Ready To Move,Kasturi Nagar,4 BHK,Radenta,2507,4.0,2.0,8.6
232,232,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,ARngsd ,1061,2.0,1.0,9.8
233,233,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Unknown,1290,2.0,2.0,11.9
234,234,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Unknown,1200,2.0,1.0,17.2
235,235,Super built-up  Area,18-May,Bharathi Nagar,2 BHK,Unknown,1120,2.0,2.0,14.3
236,236,Super built-up  Area,Ready To Move,Electronic City,1 BHK,Unknown,418,1.0,1.0,18.1
237,237,Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Sondaka,1333,3.0,1.0,17.2
238,238,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,17.2
239,239,Super built-up  Area,19-Dec,Thanisandra,1 BHK,Cotaror,684 - 810,1.0,0.0,11.5
240,240,Super built-up  Area,Ready To Move,Koramangala,3 BHK,Unknown,1700,3.0,3.0,8.3
241,241,Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,2030,4.0,1.0,11.5
242,242,Super built-up  Area,18-Mar,Balagere,2 BHK,Soresea,1012,2.0,1.0,16.1
243,243,Carpet  Area,Ready To Move,Kudlu,3 BHK,Unknown,1245,2.0,1.0,13.4
244,244,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1765,3.0,2.0,11.0
245,245,Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srtusi ,1110,2.0,2.0,15.2
246,246,Built-up  Area,Ready To Move,Akash Nagar,2 BHK,Unknown,967,2.0,1.0,
247,247,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044,2.0,2.0,17.2
248,248,Super built-up  Area,Ready To Move,Brookefield,3 BHK,Baentgi,1518,3.0,3.0,15.1
249,249,Super built-up  Area,Ready To Move,KR Puram,3 BHK,SLontel,1300,2.0,2.0,11.9
250,250,Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,Sapazta,1798,3.0,3.0,13.1
251,251,Carpet  Area,Ready To Move,KR Puram,2 BHK,Jahidva,866.28,2.0,0.0,11.9
252,252,Super built-up  Area,18-Feb,Whitefield,4 BHK,BrlisCo,3410,5.0,3.0,17.3
253,253,Super built-up  Area,Ready To Move,Singasandra,2 BHK,EAvarum,1179,2.0,2.0,12.8
254,254,Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,PhestOn,3600,5.0,1.5947635795232513,9.6
255,255,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125,2.0,1.0,12.9
