ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,dist_from_city
26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,18.1
27,Built-up  Area,20-Dec,Whitefield,3 BHK,Unknown,1610,3.0,2.0,81.0,17.3
28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,15.4
29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,18.1
30,Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,20.8
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,38.4
32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,11.1
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,15.3
34,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,1.5817572892040976,125.0,8.6
35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,26.5
36,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Unknown,1070,2.0,1.0,45.5,20.3
37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,17.4
38,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1290,2.0,2.0,56.12,12.1
39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1143,2.0,2.0,45.0,12.9
40,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,1.5817572892040976,81.0,6.8
41,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,17.2
42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,8.6
43,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Unknown,660,1.0,0.0,48.0,20.8
44,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,26.5
45,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,Unknown,600,9.0,1.5817572892040976,200.0,10.5
46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,19.6
47,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,17.3
48,Plot  Area,Ready To Move,KR Puram,2 Bedroom,Unknown,800,1.0,1.0,130.0,11.9
49,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,Unknown,869,2.0,1.0,36.0,17.3
50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,17.3
51,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,15.3
52,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,17.3
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,13.3
54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,20.8
55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,10.8
56,Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,2.0,1.5817572892040976,192.0,38.7
57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,12.4
58,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,Unknown,1407,4.0,1.0,150.0,6.8
59,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,Unknown,840,2.0,2.0,45.0,17.3
60,Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,Unknown,4395,3.0,2.0,240.0,17.3
61,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,8.6
62,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,17.3
63,Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,17.4
64,Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,Unknown,3000,8.0,0.0,140.0,9.6
65,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Unknown,1100,2.0,1.0,62.0,19.6
66,Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,18.5
67,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1220,2.0,1.0,57.0,10.9
68,Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,Unknown,1350,7.0,0.0,85.0,17.3
69,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Unknown,1005,2.0,1.0,36.68,26.5
70,Plot  Area,Ready To Move,Double Road,3 Bedroom,Unknown,500,3.0,2.0,100.0,17.3
71,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,10.8
72,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,13.7
73,Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,14.9
74,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,14.4
75,Super built-up  Area,Ready To Move,Kothannur,2 BHK,Unknown,1206,2.0,1.0,48.23,11.8
76,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Unknown,1150,2.0,3.0,40.0,13.5
77,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,10.9
78,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Unknown,460,1.0,0.0,22.0,8.9
79,Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,Unknown,4400,6.0,3.0,250.0,13.2
80,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,17.3
81,Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,2.0,1.5817572892040976,224.5,14.4
82,Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,20.8
83,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Unknown,1325,2.0,2.0,60.8,11.9
84,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,14.6
85,Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,Unknown,3000,7.0,2.0,210.0,13.7
86,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Unknown,1665,3.0,2.0,88.0,26.5
87,Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,29.2
88,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,15.0
89,Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,Unknown,710,6.0,3.0,160.0,9.6
90,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,10.6
91,Super built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1000,2.0,1.0,28.88,18.1
92,Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,Unknown,1450,2.0,2.0,70.0,17.5
93,Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,Unknown,1200,4.0,2.0,155.0,13.2
94,Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,11.5
95,Super built-up  Area,Ready To Move,Domlur,3 BHK,Unknown,1540,3.0,2.0,90.0,5.4
96,Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,22.5
97,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Unknown,1330,2.0,1.0,48.0,36.0
98,Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,Unknown,1200,2.0,1.0,65.0,18.7
99,Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,Unknown,1200,3.0,1.0,90.0,17.3
100,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,13.4
101,Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,24.0
102,Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,11.8
103,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,18.1
104,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,13.1
105,Super built-up  Area,Ready To Move,Peenya,2 BHK,Unknown,966,2.0,2.0,49.9,15.5
106,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Unknown,1630,2.0,1.0,98.0,17.0
107,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,9.6
108,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Unknown,782,2.0,2.0,55.68,17.5
109,Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,38.7
110,Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,Unknown,1800,3.0,3.0,120.0,17.3
111,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,14.3
112,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,17.3
113,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,18.1
114,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Unknown,3700,4.0,1.0,225.0,11.7
115,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,17.2
116,Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,22.5
117,Super built-up  Area,18-Dec,Thanisandra,3 BHK,Unknown,1436,3.0,1.0,74.75,11.5
118,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,Unknown,1100,2.0,2.0,75.0,8.3
119,Plot  Area,Ready To Move,Hennur Road,2 Bedroom,Unknown,276,3.0,3.0,23.0,14.4
120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,11.5
121,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,13.8
122,Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,11.1
123,Built-up  Area,Ready To Move,Shampura,4 BHK,Unknown,2650,4.0,2.0,150.0,9.5
124,Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,38.7
125,Built-up  Area,Ready To Move,Kadugodi,2 BHK,Unknown,1050,2.0,1.0,34.0,18.7
126,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,8.5
127,Super built-up  Area,22-Jan,Vajarahalli,2 BHK,Unknown,945,2.0,1.0,54.0,16.8
128,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,11.9
129,Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,Unknown,950,7.0,0.0,115.0,12.0
130,Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,15.5
131,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,17.2
132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,18.1
133,Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,Unknown,1200,4.0,0.0,210.0,17.3
134,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,11.8
135,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,26.5
136,Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,38.7
137,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,14.5
138,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,Unknown,1280,3.0,1.0,50.4,21.6
139,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,12.3
140,Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,Unknown,5000,8.0,1.5817572892040976,250.0,14.4
141,Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,20.8
142,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,15.0
143,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,Unknown,1000,2.0,1.0,60.0,13.2
144,Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,12.4
145,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,Unknown,4000,7.0,2.0,225.0,15.4
146,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,1.5817572892040976,110.0,11.8
147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,16.9
148,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,13.6
149,Plot  Area,Ready To Move,Dinnur,6 Bedroom,Unknown,1034,5.0,1.5817572892040976,185.0,17.3
150,Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,28.6
151,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,23.1
152,Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,Unknown,1250,2.0,3.0,44.0,12.0
153,Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,1.5817572892040976,235.0,17.3
154,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,15.0
155,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,19.3
156,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Unknown,1200,2.0,2.0,50.0,13.5
157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,11.5
158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,11.5
159,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,Unknown,3750,4.0,0.0,760.0,11.4
160,Built-up  Area,Ready To Move,Yarandahalli,3 BHK,Unknown,1350,2.0,3.0,48.0,17.3
161,Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,15.7
162,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,9.6
163,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Unknown,4200,4.0,2.0,420.0,17.3
164,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,12.1
165,Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,17.2
166,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,15.8
167,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,18.1
168,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,18.1
169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,17.3
170,Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,Unknown,1300,6.0,0.0,99.0,17.3
171,Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,31.8
172,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,18.1
173,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,18.1
174,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,7.2
175,Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,Unknown,1500,3.0,2.0,100.0,17.3
176,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,Unknown,600,3.0,2.0,85.0,12.2
177,Plot  Area,Ready To Move,Nagavara,1 Bedroom,Unknown,400,1.0,0.0,14.0,13.2
178,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,8.3
179,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,18.1
180,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,15.0
181,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,13.4
182,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,11.5
183,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,11.1
184,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,18.1
185,Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,Unknown,1846,3.0,2.0,300.0,5.4
186,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Unknown,1340,2.0,2.0,55.7,15.1
187,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,18.1
188,Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,11.9
189,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,10.9
190,Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,Unknown,2250,4.0,1.0,110.0,26.5
191,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,16.0
192,Plot  Area,Ready To Move,Bellandur,4 Bedroom,Unknown,1200,5.0,1.5817572892040976,325.0,12.9
193,Plot  Area,Ready To Move,Ejipura,7 Bedroom,Unknown,1800,7.0,1.0,250.0,7.5
194,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,10.9
195,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,20.8
196,Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1186,2.0,2.0,58.0,11.8
197,Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,Unknown,1783,3.0,1.0,115.0,17.0
198,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,10.5
199,Super built-up  Area,Ready To Move,Nagasandra,2 BHK,Unknown,980,2.0,1.0,48.0,17.6
200,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,Unknown,1285,2.0,2.0,82.0,14.6
201,Super built-up  Area,Ready To Move,Langford Town,3 BHK,Unknown,912,2.0,1.0,70.0,3.3
202,Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6,17.3
203,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1075,2.0,1.0,53.0,17.3
204,Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0,18.7
205,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7,20.8
206,Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,19.6
207,Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0,14.2
208,Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,Unknown,1207,2.0,2.0,43.5,19.0
209,Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,Unknown,1736,6.0,0.0,190.0,11.3
210,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,Unknown,2850,4.0,1.0,428.0,6.0
211,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,65.0,21.2
212,Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,Unknown,1798,3.0,2.0,89.0,15.3
213,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,78.29,20.3
214,Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3.0,3.0,100.0,14.2
215,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,65.0,29.4
216,Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,Unknown,3600,6.0,0.0,141.0,21.7
217,Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,27.0,18.1
218,Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,Unknown,1415,3.0,3.0,78.0,14.0
219,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,98.29,17.2
220,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,125.0,17.2
221,Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2.0,3.0,90.0,8.3
222,Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,Unknown,2000,4.0,1.0,75.5,17.3
223,Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,44.28,17.2
224,Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,2.0,1.5817572892040976,74.82,38.7
225,Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4.0,2.0,260.0,17.3
226,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,72.0,11.0
227,Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,Unknown,1500,2.0,1.0,115.0,13.1
228,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Unknown,1900,3.0,2.0,119.0,11.1
229,Super built-up  Area,19-Aug,Dommasandra,2 BHK,Unknown,805,2.0,1.0,22.14,23.5
230,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.4,30.9
231,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2.0,2.0,60.0,13.8
232,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,55.0,15.2
233,Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2.0,2.0,42.0,18.1
234,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2.0,2.0,110.0,8.7
235,Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,Unknown,1500,2.0,1.0,65.0,17.3
236,Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,Unknown,1080,2.0,2.0,39.0,11.4
237,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3.0,1.0,129.0,11.1
238,Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,Unknown,3500,5.0,2.0,150.0,11.7
239,Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,Unknown,1060,2.0,2.0,60.0,17.3
240,Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,24.0
241,Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,Unknown,2600,8.0,2.0,180.0,17.3
242,Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,24.0
243,Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3.0,3.0,84.0,11.4
